Timestamp,Ch0_Alpha,Ch0_Beta,Ch0_Gamma,Ch1_Alpha,Ch1_Beta,Ch1_Gamma,Ch2_Alpha,Ch2_Beta,Ch2_Gamma,Ch3_Alpha,Ch3_Beta,Ch3_Gamma
1733461979.1276112,10001.546875,40003.625,,,,,,,,,,
1733461979.1401124,,,29995.25390625,10156.609375,39911.734375,29990.56640625,10001.875,39996.0625,29998.734375,10006.9375,39984.53125,30002.68359375
1733461979.1509297,9992.6640625,40004.0,30002.09765625,9930.2734375,39863.25,30064.30078125,9991.5390625,39987.609375,30003.19921875,9998.0546875,39991.890625,30006.7265625
1733461979.174222,9963.9296875,40010.890625,29998.546875,9546.8359375,,,,,,,,
1733461979.1861115,,,,,40234.859375,29985.046875,9969.8828125,40010.203125,30005.1328125,9953.125,40021.609375,30003.50390625
1733461979.2111335,10027.7734375,39989.734375,29992.40625,10440.484375,39625.21875,29993.203125,10028.9453125,39986.0,29992.1484375,10036.375,39966.484375,29994.87890625
1733461979.2462387,10007.171875,40015.0625,29999.90625,9830.0078125,40326.84375,29951.3203125,9983.9453125,40022.59375,29995.58203125,9993.53125,40020.65625,30002.6953125
1733461979.2692652,9998.7109375,39992.546875,30002.75390625,10169.03125,39895.609375,29956.359375,10017.484375,39983.453125,,,,
1733461979.2814684,,,,,,,,,29999.0625,10004.734375,40000.90625,29990.42578125
1733461979.3054852,9995.546875,39992.734375,29998.2421875,9977.921875,40003.96875,30026.61328125,9994.375,40007.9375,29999.4609375,9991.0,39995.90625,29999.6953125
1733461979.328502,9965.8515625,40012.5,29991.97265625,9814.4921875,39961.921875,30083.484375,9977.6640625,39987.109375,30011.30859375,9993.6484375,39984.953125,30009.046875
1733461979.3677711,10011.25,39986.5,30004.93359375,9911.125,40076.796875,30002.765625,9990.7421875,40004.140625,29995.76953125,9983.21875,40020.125,30000.890625
1733461979.391965,10027.5859375,39990.1875,30002.953125,10254.765625,39888.03125,29978.19140625,10016.78125,39992.21875,29993.2734375,10017.53125,39988.25,29988.1171875
1733461979.4290128,10002.5078125,40014.25,29996.0625,10214.546875,40006.484375,29959.1484375,10026.8125,39995.75,30001.078125,10021.8671875,39991.640625,30003.3046875
1733461979.4532485,9970.890625,40006.109375,29996.5546875,9736.4453125,40148.46875,29947.83984375,9969.9765625,40027.765625,29990.4375,9975.2734375,40018.390625,29992.69921875
1733461979.4871414,10005.53125,39974.65625,30008.578125,9874.1875,39872.234375,30020.4375,9997.7265625,39972.796875,30006.41015625,9994.421875,39981.78125,30000.78515625
1733461979.5201588,9989.7109375,40009.484375,29997.6328125,10014.4609375,40052.3125,30040.5234375,9999.8359375,40009.9375,29998.7578125,10002.53125,40004.703125,30006.65625
1733461979.5490324,10005.5546875,40011.40625,29994.31640625,10112.359375,39984.5,30036.3046875,10001.40625,40000.125,29996.484375,9999.765625,40000.703125,29996.53125
1733461979.5725446,10018.4453125,39973.953125,30003.046875,10010.6171875,39962.65625,,,,,,,
1733461979.5851672,,,,,,30007.3359375,10006.9140625,39995.421875,30004.6640625,10006.421875,39991.484375,30008.70703125
1733461979.6081975,9964.1875,40025.5625,29997.3046875,10049.40625,39962.09375,29962.5234375,9994.421875,40002.859375,29992.48828125,10001.078125,40006.953125,29987.51953125
1733461979.640718,10010.9921875,39978.15625,29994.15234375,9714.8125,40192.265625,29948.70703125,9982.7734375,40003.015625,30000.64453125,9976.140625,40010.015625,29996.71875
1733461979.6732378,10015.5859375,40003.8125,30006.9140625,10173.0390625,39783.265625,29998.93359375,10012.421875,39987.71875,29997.41015625,10016.875,39975.703125,30003.609375
1733461979.7022526,9990.7421875,40003.609375,30000.94921875,10066.375,40125.28125,30027.75,9999.390625,40005.015625,30005.26171875,9995.6875,40017.828125,30000.19921875
1733461979.7401989,10002.484375,39992.984375,29996.87109375,10058.7109375,39905.296875,30063.05859375,10003.3984375,39989.203125,30003.703125,10004.640625,39986.390625,30001.72265625
1733461979.763715,9956.03125,40018.984375,29997.71484375,9748.3046875,40113.671875,29996.75390625,9976.4453125,40011.296875,29993.82421875,9974.171875,40012.65625,29999.3203125
1733461979.79696,10048.65625,39969.375,30002.82421875,10283.734375,39885.984375,29988.796875,10020.3203125,39992.453125,30000.28125,10023.3671875,39979.484375,30001.32421875
1733461979.8189738,9996.625,40018.53125,29995.34765625,10002.203125,40082.109375,29945.61328125,10001.640625,39998.234375,30000.5390625,9996.34375,40011.0,29993.2734375
1733461979.8515098,9974.1015625,39991.1875,30001.8515625,9816.5078125,39983.171875,29965.828125,,,,,,
1733461979.8673482,,,,,,,9979.328125,40000.953125,29995.67578125,9991.140625,39994.171875,29999.1328125
1733461979.8803482,9989.7578125,39997.84375,29998.81640625,9813.3203125,,,,,,,,
1733461979.891457,,,,,39962.015625,30035.6953125,9989.59375,39992.640625,30004.0078125,9980.921875,40004.078125,29998.69921875
1733461979.9135087,10025.96875,40005.609375,30002.37890625,10247.59375,40003.59375,30043.5,10019.4296875,40005.25,30001.4765625,10019.03125,39994.265625,30005.44921875
1733461979.948552,9998.5703125,39991.578125,29995.9453125,9987.953125,40037.234375,30021.99609375,9995.546875,40002.46875,29999.94140625,9997.9140625,40004.171875,30000.9140625
1733461979.9807835,10004.0546875,40001.640625,30003.140625,10136.453125,39906.453125,30011.54296875,10009.09375,40000.515625,29993.58984375,10006.796875,39999.234375,29999.953125
1733461980.0163422,9977.7109375,40013.125,29989.2421875,9824.7578125,40160.4375,29932.03125,9982.9140625,40001.796875,29998.30078125,9986.125,40001.8125,29991.3515625
1733461980.044016,10000.5625,39989.3125,30000.328125,9981.2265625,39887.5,29951.23828125,9995.5703125,39985.765625,29995.21875,9992.2890625,39995.375,29993.3203125
1733461980.0718484,10005.5546875,39998.140625,30007.48828125,9958.0,40080.953125,29998.32421875,9999.9296875,40002.40625,30004.359375,10005.4375,,
1733461980.0839462,,,,,,,,,,,39995.75,30003.0703125
1733461980.0959597,10003.09375,39987.578125,,,,,,,,,,
1733461980.1074693,,,30006.375,10233.2265625,39865.171875,30052.5234375,10013.96875,39994.46875,29999.9765625,10008.1796875,39995.265625,30004.3828125
1733461980.1294875,9986.96875,,,,,,,,,,,
1733461980.140997,,40020.890625,29991.046875,9859.4453125,40075.1875,30055.88671875,9988.09375,40010.0,30000.55078125,9987.25,40003.265625,30004.4765625
1733461980.1555061,9999.2265625,,,,,,,,,,,
1733461980.1665096,,39979.703125,29992.2421875,9774.3671875,40071.953125,29987.1796875,9987.9296875,40002.234375,30000.7265625,9993.2734375,39999.390625,29995.60546875
